2022-03-10 11:58:20 [INFO] 开始企业微信测试 (test_wework.py:29)
2022-03-10 11:58:20 [INFO] 开始本次测试 (wework_app.py:15)
2022-03-10 11:58:26 [INFO] 跳转到首页 (wework_app.py:59)
2022-03-10 11:58:26 [INFO] 输入数据：('zenghuan11', '13745210025') (test_wework.py:49)
2022-03-10 11:58:26 [INFO] 点击通讯录 (main_page.py:15)
2022-03-10 11:58:28 [INFO] 跳转到通讯录列表页 (main_page.py:23)
2022-03-10 11:58:28 [INFO] 点击添加成员 (addressList_page.py:16)
2022-03-10 11:58:29 [INFO] 跳转到添加成员页 (addressList_page.py:19)
2022-03-10 11:58:29 [INFO] 点击手动输入添加 (addMember_page.py:15)
2022-03-10 11:58:31 [INFO] 跳转到编辑成员页 (addMember_page.py:20)
2022-03-10 11:58:31 [INFO] 输入用户名 (editMember_page.py:21)
2022-03-10 11:58:32 [INFO] 输入手机号 (editMember_page.py:24)
2022-03-10 11:58:33 [INFO] 点击保存 (editMember_page.py:27)
2022-03-10 11:58:33 [INFO] 完成本次测试 (test_wework.py:39)
2022-03-10 11:58:35 [INFO] 开始本次测试 (wework_app.py:15)
2022-03-10 11:58:36 [INFO] 跳转到首页 (wework_app.py:59)
2022-03-10 11:58:36 [INFO] 输入数据：('zenghuan22', '13745210026') (test_wework.py:49)
2022-03-10 11:58:36 [INFO] 点击通讯录 (main_page.py:15)
2022-03-10 11:58:37 [INFO] 跳转到通讯录列表页 (main_page.py:23)
2022-03-10 11:58:37 [INFO] 点击添加成员 (addressList_page.py:16)
2022-03-10 11:58:37 [INFO] 跳转到添加成员页 (addressList_page.py:19)
2022-03-10 11:58:37 [INFO] 点击手动输入添加 (addMember_page.py:15)
2022-03-10 11:58:39 [INFO] 跳转到编辑成员页 (addMember_page.py:20)
2022-03-10 11:58:39 [INFO] 输入用户名 (editMember_page.py:21)
2022-03-10 11:58:40 [INFO] 输入手机号 (editMember_page.py:24)
2022-03-10 11:58:41 [INFO] 点击保存 (editMember_page.py:27)
2022-03-10 11:58:41 [INFO] 完成本次测试 (test_wework.py:39)
2022-03-10 11:58:44 [INFO] 开始本次测试 (wework_app.py:15)
2022-03-10 11:58:44 [INFO] 跳转到首页 (wework_app.py:59)
2022-03-10 11:58:44 [INFO] 输入数据：('zenghuan33', '13745210036') (test_wework.py:49)
2022-03-10 11:58:44 [INFO] 点击通讯录 (main_page.py:15)
2022-03-10 11:58:45 [INFO] 跳转到通讯录列表页 (main_page.py:23)
2022-03-10 11:58:45 [INFO] 点击添加成员 (addressList_page.py:16)
2022-03-10 11:58:45 [INFO] 跳转到添加成员页 (addressList_page.py:19)
2022-03-10 11:58:45 [INFO] 点击手动输入添加 (addMember_page.py:15)
2022-03-10 11:58:47 [INFO] 跳转到编辑成员页 (addMember_page.py:20)
2022-03-10 11:58:47 [INFO] 输入用户名 (editMember_page.py:21)
2022-03-10 11:58:48 [INFO] 输入手机号 (editMember_page.py:24)
2022-03-10 11:58:49 [INFO] 点击保存 (editMember_page.py:27)
2022-03-10 11:58:49 [INFO] 完成本次测试 (test_wework.py:39)
2022-03-10 11:58:52 [INFO] 结束测试 (test_wework.py:43)
