2022-03-10 11:33:24 [INFO] 开始企业微信测试 (test_wework.py:29)
2022-03-10 11:33:24 [INFO] 开始本次测试 (wework_app.py:15)
2022-03-10 11:33:29 [INFO] 跳转到首页 (wework_app.py:59)
2022-03-10 11:33:29 [INFO] 输入数据：('zenghuan11', '13745210020') (test_wework.py:49)
2022-03-10 11:33:29 [INFO] 点击通讯录 (main_page.py:15)
2022-03-10 11:33:29 [INFO] 跳转到通讯录列表页 (main_page.py:23)
2022-03-10 11:33:29 [INFO] 点击添加成员 (addressList_page.py:16)
2022-03-10 11:33:43 [INFO] 跳转到添加成员页 (addressList_page.py:20)
2022-03-10 11:33:43 [INFO] 点击手动输入添加 (addMember_page.py:12)
2022-03-10 11:33:45 [INFO] 跳转到编辑成员页 (addMember_page.py:15)
2022-03-10 11:33:45 [INFO] 输入用户名 (editMember_page.py:16)
2022-03-10 11:33:46 [INFO] 输入手机号 (editMember_page.py:18)
2022-03-10 11:33:47 [INFO] 点击保存 (editMember_page.py:20)
2022-03-10 11:33:48 [INFO] 保存成功，弹层toast (editMember_page.py:22)
2022-03-10 11:33:50 [INFO] 完成本次测试 (test_wework.py:39)
2022-03-10 11:33:52 [INFO] 开始本次测试 (wework_app.py:15)
2022-03-10 11:33:52 [INFO] 跳转到首页 (wework_app.py:59)
2022-03-10 11:33:52 [INFO] 输入数据：('zenghuan22', '13745210021') (test_wework.py:49)
2022-03-10 11:33:52 [INFO] 点击通讯录 (main_page.py:15)
2022-03-10 11:33:53 [INFO] 跳转到通讯录列表页 (main_page.py:23)
2022-03-10 11:33:53 [INFO] 点击添加成员 (addressList_page.py:16)
2022-03-10 11:33:53 [INFO] 跳转到添加成员页 (addressList_page.py:20)
2022-03-10 11:33:53 [INFO] 点击手动输入添加 (addMember_page.py:12)
2022-03-10 11:33:55 [INFO] 跳转到编辑成员页 (addMember_page.py:15)
2022-03-10 11:33:55 [INFO] 输入用户名 (editMember_page.py:16)
2022-03-10 11:33:56 [INFO] 输入手机号 (editMember_page.py:18)
2022-03-10 11:33:57 [INFO] 点击保存 (editMember_page.py:20)
2022-03-10 11:33:57 [INFO] 保存成功，弹层toast (editMember_page.py:22)
2022-03-10 11:34:00 [INFO] 完成本次测试 (test_wework.py:39)
2022-03-10 11:34:01 [INFO] 开始本次测试 (wework_app.py:15)
2022-03-10 11:34:02 [INFO] 跳转到首页 (wework_app.py:59)
2022-03-10 11:34:02 [INFO] 输入数据：('zenghuan33', '13745210032') (test_wework.py:49)
2022-03-10 11:34:02 [INFO] 点击通讯录 (main_page.py:15)
2022-03-10 11:34:02 [INFO] 跳转到通讯录列表页 (main_page.py:23)
2022-03-10 11:34:02 [INFO] 点击添加成员 (addressList_page.py:16)
2022-03-10 11:34:03 [INFO] 跳转到添加成员页 (addressList_page.py:20)
2022-03-10 11:34:03 [INFO] 点击手动输入添加 (addMember_page.py:12)
2022-03-10 11:34:04 [INFO] 跳转到编辑成员页 (addMember_page.py:15)
2022-03-10 11:34:04 [INFO] 输入用户名 (editMember_page.py:16)
2022-03-10 11:34:06 [INFO] 输入手机号 (editMember_page.py:18)
2022-03-10 11:34:07 [INFO] 点击保存 (editMember_page.py:20)
2022-03-10 11:34:07 [INFO] 保存成功，弹层toast (editMember_page.py:22)
2022-03-10 11:34:10 [INFO] 完成本次测试 (test_wework.py:39)
2022-03-10 11:34:11 [INFO] 结束测试 (test_wework.py:43)
