2022-03-10 11:38:31 [INFO] 开始企业微信测试 (test_wework.py:29)
2022-03-10 11:38:31 [INFO] 开始本次测试 (wework_app.py:15)
2022-03-10 11:38:37 [INFO] 跳转到首页 (wework_app.py:59)
2022-03-10 11:38:37 [INFO] 输入数据：('zenghuan11', '13745210025') (test_wework.py:49)
2022-03-10 11:38:37 [INFO] 点击通讯录 (main_page.py:15)
2022-03-10 11:38:40 [INFO] 跳转到通讯录列表页 (main_page.py:23)
2022-03-10 11:38:40 [INFO] 点击添加成员 (addressList_page.py:16)
2022-03-10 11:38:40 [INFO] 跳转到添加成员页 (addressList_page.py:20)
2022-03-10 11:38:40 [INFO] 点击手动输入添加 (addMember_page.py:12)
2022-03-10 11:38:42 [INFO] 跳转到编辑成员页 (addMember_page.py:15)
2022-03-10 11:38:42 [INFO] 输入用户名 (editMember_page.py:16)
2022-03-10 11:38:43 [INFO] 输入手机号 (editMember_page.py:18)
2022-03-10 11:38:44 [INFO] 点击保存 (editMember_page.py:20)
2022-03-10 11:38:45 [INFO] 保存成功，弹层toast (editMember_page.py:22)
2022-03-10 11:38:47 [INFO] 完成本次测试 (test_wework.py:39)
2022-03-10 11:38:49 [INFO] 开始本次测试 (wework_app.py:15)
2022-03-10 11:38:49 [INFO] 跳转到首页 (wework_app.py:59)
2022-03-10 11:38:49 [INFO] 输入数据：('zenghuan22', '13745210026') (test_wework.py:49)
2022-03-10 11:38:49 [INFO] 点击通讯录 (main_page.py:15)
2022-03-10 11:38:51 [INFO] 跳转到通讯录列表页 (main_page.py:23)
2022-03-10 11:38:51 [INFO] 点击添加成员 (addressList_page.py:16)
2022-03-10 11:38:51 [INFO] 跳转到添加成员页 (addressList_page.py:20)
2022-03-10 11:38:51 [INFO] 点击手动输入添加 (addMember_page.py:12)
2022-03-10 11:38:53 [INFO] 跳转到编辑成员页 (addMember_page.py:15)
2022-03-10 11:38:53 [INFO] 输入用户名 (editMember_page.py:16)
2022-03-10 11:38:54 [INFO] 输入手机号 (editMember_page.py:18)
2022-03-10 11:38:55 [INFO] 点击保存 (editMember_page.py:20)
2022-03-10 11:38:56 [INFO] 保存成功，弹层toast (editMember_page.py:22)
2022-03-10 11:38:58 [INFO] 完成本次测试 (test_wework.py:39)
2022-03-10 11:39:00 [INFO] 开始本次测试 (wework_app.py:15)
2022-03-10 11:39:00 [INFO] 跳转到首页 (wework_app.py:59)
2022-03-10 11:39:00 [INFO] 输入数据：('zenghuan33', '13745210036') (test_wework.py:49)
2022-03-10 11:39:00 [INFO] 点击通讯录 (main_page.py:15)
2022-03-10 11:39:02 [INFO] 跳转到通讯录列表页 (main_page.py:23)
2022-03-10 11:39:02 [INFO] 点击添加成员 (addressList_page.py:16)
2022-03-10 11:39:02 [INFO] 跳转到添加成员页 (addressList_page.py:20)
2022-03-10 11:39:02 [INFO] 点击手动输入添加 (addMember_page.py:12)
2022-03-10 11:39:04 [INFO] 跳转到编辑成员页 (addMember_page.py:15)
2022-03-10 11:39:04 [INFO] 输入用户名 (editMember_page.py:16)
2022-03-10 11:39:05 [INFO] 输入手机号 (editMember_page.py:18)
2022-03-10 11:39:06 [INFO] 点击保存 (editMember_page.py:20)
2022-03-10 11:39:07 [INFO] 保存成功，弹层toast (editMember_page.py:22)
2022-03-10 11:39:09 [INFO] 完成本次测试 (test_wework.py:39)
2022-03-10 11:39:11 [INFO] 开始本次测试 (wework_app.py:15)
2022-03-10 11:39:11 [INFO] 跳转到首页 (wework_app.py:59)
2022-03-10 11:39:11 [INFO] 点击通讯录 (main_page.py:15)
2022-03-10 11:39:13 [INFO] 跳转到通讯录列表页 (main_page.py:23)
2022-03-10 11:39:13 [INFO] 点击放大镜 (addressList_page.py:24)
2022-03-10 11:39:13 [INFO] 跳转到搜索页 (addressList_page.py:28)
2022-03-10 11:39:13 [INFO] 输入搜索词 (search_page.py:15)
2022-03-10 11:39:17 [INFO] 有搜索结果 (search_page.py:27)
2022-03-10 11:39:17 [INFO] 点击第一个联系人 (search_page.py:30)
2022-03-10 11:39:18 [INFO] 跳转到个人信息页 (search_page.py:33)
2022-03-10 11:39:18 [INFO] 点击右上角的三个点 (userInfo_page.py:10)
2022-03-10 11:39:19 [INFO] 跳转到个人信息编辑页 (userInfo_page.py:13)
2022-03-10 11:39:19 [INFO] 点击编辑成员 (userInfo_edit_page.py:9)
2022-03-10 11:39:20 [INFO] 跳转到编辑成员页 (userInfo_edit_page.py:11)
2022-03-10 11:39:20 [INFO] 点击删除 (editMember_page.py:28)
2022-03-10 11:39:22 [INFO] 点击确定 (editMember_page.py:30)
2022-03-10 11:39:23 [INFO] 跳转到搜索结果页，获取删除后的联系人个数 (editMember_page.py:32)
2022-03-10 11:39:25 [INFO] 完成本次测试 (test_wework.py:39)
2022-03-10 11:39:27 [INFO] 结束测试 (test_wework.py:43)
