2022-03-10 11:20:46 [INFO] 开始企业微信测试 (test_wework.py:28)
2022-03-10 11:20:46 [INFO] 开始本次测试 (wework_app.py:15)
2022-03-10 11:20:51 [INFO] 跳转到首页 (wework_app.py:59)
2022-03-10 11:20:51 [INFO] 输入数据：('zenghuan11', '13745210020') (test_wework.py:48)
2022-03-10 11:20:51 [INFO] 点击通讯录 (main_page.py:15)
2022-03-10 11:20:51 [INFO] 跳转到通讯录列表页 (main_page.py:23)
2022-03-10 11:20:51 [INFO] 点击添加成员 (addressList_page.py:16)
2022-03-10 11:20:52 [INFO] 跳转到添加成员页 (addressList_page.py:20)
2022-03-10 11:20:52 [INFO] 点击手动输入添加 (addMember_page.py:12)
2022-03-10 11:20:53 [INFO] 跳转到编辑成员页 (addMember_page.py:15)
2022-03-10 11:20:53 [INFO] 输入用户名 (editMember_page.py:16)
2022-03-10 11:20:54 [INFO] 输入手机号 (editMember_page.py:18)
2022-03-10 11:20:55 [INFO] 点击保存 (editMember_page.py:20)
2022-03-10 11:20:55 [INFO] 保存成功，弹层toast (editMember_page.py:22)
2022-03-10 11:20:58 [INFO] 开始本次测试 (wework_app.py:15)
2022-03-10 11:20:58 [INFO] 跳转到首页 (wework_app.py:59)
2022-03-10 11:20:58 [INFO] 输入数据：('zenghuan22', '13745210021') (test_wework.py:48)
2022-03-10 11:20:58 [INFO] 点击通讯录 (main_page.py:15)
2022-03-10 11:20:59 [INFO] 跳转到通讯录列表页 (main_page.py:23)
2022-03-10 11:20:59 [INFO] 点击添加成员 (addressList_page.py:16)
2022-03-10 11:20:59 [INFO] 跳转到添加成员页 (addressList_page.py:20)
2022-03-10 11:20:59 [INFO] 点击手动输入添加 (addMember_page.py:12)
2022-03-10 11:21:01 [INFO] 跳转到编辑成员页 (addMember_page.py:15)
2022-03-10 11:21:01 [INFO] 输入用户名 (editMember_page.py:16)
2022-03-10 11:21:02 [INFO] 输入手机号 (editMember_page.py:18)
2022-03-10 11:21:03 [INFO] 点击保存 (editMember_page.py:20)
2022-03-10 11:21:04 [INFO] 保存成功，弹层toast (editMember_page.py:22)
2022-03-10 11:21:07 [INFO] 开始本次测试 (wework_app.py:15)
2022-03-10 11:21:07 [INFO] 跳转到首页 (wework_app.py:59)
2022-03-10 11:21:07 [INFO] 输入数据：('zenghuan33', '13745210032') (test_wework.py:48)
2022-03-10 11:21:07 [INFO] 点击通讯录 (main_page.py:15)
2022-03-10 11:21:07 [INFO] 跳转到通讯录列表页 (main_page.py:23)
2022-03-10 11:21:07 [INFO] 点击添加成员 (addressList_page.py:16)
2022-03-10 11:21:08 [INFO] 跳转到添加成员页 (addressList_page.py:20)
2022-03-10 11:21:08 [INFO] 点击手动输入添加 (addMember_page.py:12)
2022-03-10 11:21:10 [INFO] 跳转到编辑成员页 (addMember_page.py:15)
2022-03-10 11:21:10 [INFO] 输入用户名 (editMember_page.py:16)
2022-03-10 11:21:11 [INFO] 输入手机号 (editMember_page.py:18)
2022-03-10 11:21:12 [INFO] 点击保存 (editMember_page.py:20)
2022-03-10 11:21:13 [INFO] 保存成功，弹层toast (editMember_page.py:22)
2022-03-10 11:21:16 [INFO] 结束测试 (test_wework.py:42)
2022-03-10 11:21:16 [INFO] 完成本次测试 (wework_app.py:66)
